experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Jadeplant,\benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0bm_10_1x3.png,,659x497,None,1x3,None,FALSE,8013641.06,1867.160499,24.81256927,24556.69409,0.656432391,0.563540547,0.506144591,0.459820972,67.78357863
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,MotorcycleE,\benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0bm_10_1x3.png,,741x497,None,1x3,None,FALSE,16310987.5,3481.020878,45.2337885,35429.25008,0.997601174,0.99552404,0.990817903,0.98064577,75.53407431
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0bm_10_1x3.png,,741x497,None,1x3,None,FALSE,2662660.562,271.3492028,7.384116058,9891.745198,0.354809994,0.283849104,0.252753104,0.228445921,74.87723064
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PianoL,\benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0bm_10_1x3.png,,707x481,None,1x3,None,FALSE,8935090.115,1457.100743,27.76131449,21655.80066,0.934709527,0.908781621,0.868682695,0.816565896,71.52190161
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Piano,\benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0bm_10_1x3.png,,707x481,None,1x3,None,FALSE,1457054.193,91.79519405,4.527065665,5435.499092,0.485468566,0.373830992,0.26643447,0.161753466,70.20429778
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Pipes,\benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0bm_10_1x3.png,,735x485,None,1x3,None,FALSE,3381887.844,336.9581628,9.833298958,10765.09755,0.498822407,0.407400515,0.358383587,0.307866319,69.5286746
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playroom,\benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0bm_10_1x3.png,,699x476,None,1x3,None,FALSE,5178720.379,750.1137325,16.45459056,15364.95346,0.721419766,0.610616151,0.512604535,0.441123764,66.93848872
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PlaytableP,\benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0bm_10_1x3.png,,681x462,None,1x3,None,FALSE,1706454.156,147.3420909,5.573842433,6716.35098,0.440807567,0.339446814,0.271876245,0.172863983,63.97450423
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playtable,\benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0bm_10_1x3.png,,680x463,None,1x3,None,FALSE,1934390.262,161.3827222,6.31338717,7031.846072,0.522776155,0.410078493,0.334238483,0.210522365,62.92580485
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Recycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0bm_10_1x3.png,,720x486,None,1x3,None,FALSE,1175212.947,51.40008428,3.415651448,4205.362386,0.434993766,0.304926075,0.211522756,0.143762697,73.33599997
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Shelves,\benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0bm_10_1x3.png,,738x497,None,1x3,None,FALSE,1921703.334,108.5452,5.841665022,5975.581287,0.591901874,0.448190537,0.347924551,0.242962017,70.96340775
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,\benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0bm_10_1x3.png,,450x375,None,1x3,None,FALSE,787570.75,129.3431694,4.778600769,4617.066865,0.319988836,0.210409436,0.176752906,0.151797199,41.66414571
bm_10_1x3,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Vintage,\benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0bm_10_1x3.png,,722x480,None,1x3,None,FALSE,4105727.224,710.4370791,12.1385388,15501.53306,0.628478679,0.478283108,0.345708212,0.250204737,67.5763526
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Adirondack,\benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0bm_10_1x5.png,,718x496,None,1x5,None,FALSE,3659418.349,356.9378684,10.3106023,11255.38424,0.607016269,0.510151641,0.420373157,0.360401558,71.01817966
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,ArtL,\benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0bm_10_1x5.png,,347x277,None,1x5,None,FALSE,3082051.25,1653.528491,32.12176521,12595.80903,0.940655973,0.929962793,0.914475398,0.894329279,31.58258843
